ANSP, Total MSE, Componentwise MSE
DHMI,0.32248042031460145,0.30211924572132004
ARMATS,0.05271175247135257,0.04769009036668283
EANS,0.04003967215883101,0.04146387495818666
BULATSA,0.2813390115184341,0.2817545939804821
ANS CR,0.5053520443656777,0.36378995105101886
DCAC Cyprus,0.2112243595691514,0.19524653706535594
Austro Control,0.5665641840541297,0.6135946843935784
DSNA,0.24894466727055142,0.24511511758418317
ENAV,0.36402043734917783,5.77453923884897
Albcontrol,0.29902950976181997,0.306050592733467
Croatia Control,0.9966126608450535,2.986559220277694
ENAIRE,0.19459618655226618,0.18696154172752197
DFS,0.6843790336760194,0.6553873661973819
ANS Finland,0.12779193864960833,0.12037780536618883
Avinor (Continental),0.23593476668121396,0.24741918880491448
HungaroControl,0.3481220143629824,0.33614114583408916
HCAA,0.1360277095180871,0.2510021816059866
LFV,0.13968850581227904,0.12807360569832038
LPS,0.3368716306347733,0.4679736163318709
M-NAV,0.44032757997534494,0.5062745819555038
NATS (Continental),1.9468028631801393,1.884244913038258
MOLDATSA,0.03355000183250255,0.030796977271796273
NAVIAIR,0.2554450032651859,0.2564740237828111
PANSA,0.2751841559925279,0.35001025455854395
IAA,0.2614267395134963,0.30265620288313316
LGS,0.04363456187902537,0.04792717918036102
LVNL,1.2215008017474138,1.215919207070665
MATS,0.038985009970574434,0.04081381474284498
MUAC,0.7331909550997601,0.714473654953037
NAV Portugal (Continental),0.14448725492777578,0.13859864365849697
Oro Navigacija,0.06862260911896322,0.06514896443062493
SMATSA,0.7342778891751893,0.8961258133567331
UkSATSE,0.04212685636614312,0.06333360542375804
ROMATSA,0.2019775476482129,0.32040829760033573
Skyguide,1.0125769910862017,1.154940988611649
Sakaeronavigatsia,0.5693782758477413,0.5171578182983719
skeyes,2.744483657659043,3.0440768607882216
Slovenia Control,2.771764050310653,2.4176549720928273
